2016-04-14 15:33:21.547676	|	6 2.5854  7 2.5874  4 2.6130  5 2.6143  2 2.6717  1 2.7175  3 2.7606
2016-04-14 15:33:22.259708	|	2 2.5705  1 2.5919  6 2.6023  5 2.6067  7 2.6530  4 2.6566  3 2.6673
2016-04-14 15:33:22.787551	|	5 2.5986  4 2.6033  3 2.6187  1 2.6274  6 2.6545  7 2.7408  2 2.9042
2016-04-14 15:34:23.305063	|	4 2.6039  7 2.6201  6 2.6248  3 2.6520  5 2.6987  1 2.7179  2 2.7927
2016-04-14 15:34:27.499906	|	1 2.5933  5 2.6185  2 2.6317  3 2.6838  6 2.6940  7 2.6978  4 2.7850
2016-04-14 15:40:41.425816	|	5 2.5975  3 2.6037  1 2.6103  6 2.6605  2 2.7007  4 2.7371  7 2.7515
2016-04-14 15:40:44.233097	|	3 2.6405  7 2.7282  1 2.7557  2 2.7701  6 2.7742  4 2.9160  5 2.9327
2016-04-14 15:40:53.364131	|	2 2.6529  7 2.6796  4 2.6832  5 2.6875  3 2.7040  1 2.7466  6 2.8037
2016-04-14 15:40:58.240349	|	1 2.5793  3 2.6192  7 2.6209  6 2.6270  4 2.6404  5 2.6997  2 2.7108
2016-04-14 15:40:59.137713	|	6 2.5695  3 2.5953  5 2.6150  7 2.6174  1 2.6219  4 2.6506  2 2.6752
2016-04-14 15:41:02.296366	|	4 2.5749  1 2.5777  3 2.5886  6 2.5898  7 2.5967  5 2.6029  2 2.6106
2016-04-14 15:41:11.703201	|	3 2.5700  4 2.5860  7 2.5930  5 2.5953  6 2.6009  2 2.6087  1 2.6359
2016-04-14 15:41:21.815842	|	2 2.6646  5 2.7198  6 2.7406  1 2.7554  7 2.7758  4 2.8537  3 2.9348
2016-04-14 15:41:25.289938	|	7 2.6487  4 2.6501  6 2.6569  2 2.6766  1 2.6996  3 2.7073  5 2.7284
2016-04-14 15:41:29.905978	|	2 2.5993  7 2.6063  6 2.6278  1 2.6389  4 2.6822  5 2.6941  3 2.7064
2016-04-16 08:39:02.145850	|	6 2.5854  7 2.5874  4 2.6130  5 2.6143  2 2.6717  1 2.7175  3 2.7606
